raw_epoch,timestamp_utc,open,high,low,close,tick_volume,spread,real_volume
1784505600,2026-07-20T00:00:00Z,1.14269,1.14316,1.14253,1.14295,616,0,0
1784509200,2026-07-20T01:00:00Z,1.14295,1.1431499999999999,1.14246,1.14264,7012,0,0
1784512800,2026-07-20T02:00:00Z,1.14264,1.14277,1.14237,1.14276,5297,0,0
1784516400,2026-07-20T03:00:00Z,1.14276,1.14337,1.14264,1.14334,9532,0,0
1784520000,2026-07-20T04:00:00Z,1.14334,1.1436600000000001,1.14314,1.14361,9880,0,0
1784523600,2026-07-20T05:00:00Z,1.1436,1.1443,1.14346,1.1441,8238,0,0
1784527200,2026-07-20T06:00:00Z,1.1441,1.1442700000000001,1.14397,1.14418,6071,0,0
1784530800,2026-07-20T07:00:00Z,1.14418,1.14452,1.14412,1.14444,5425,0,0
1784534400,2026-07-20T08:00:00Z,1.14444,1.1445,1.144,1.14401,5888,0,0
1784538000,2026-07-20T09:00:00Z,1.14401,1.14422,1.14341,1.14352,9823,0,0
1784541600,2026-07-20T10:00:00Z,1.14352,1.14497,1.14341,1.14442,13929,0,0
1784545200,2026-07-20T11:00:00Z,1.14441,1.14457,1.14373,1.14391,9816,0,0
1784548800,2026-07-20T12:00:00Z,1.14391,1.14399,1.14273,1.143,8489,0,0
